activity,start,end
Sleep,18:21:41,18:38:03
Travel,11:35:33,12:00:00
Watching content,15:30:00,17:00:00
Travel,14:00:00,14:30:00
Travel,0:15:30,1:31:37
Internet leisure,13:20:59,13:24:15
Cooking,13:41:52,14:33:23
Socializing/relaxing,12:54:39,13:20:59
Travel,16:26:40,18:09:43
Food,14:30:00,15:30:00
Socializing/relaxing,1:42:51,4:34:10
Work ,15:07:27,18:21:37
Watching content,23:00:00,23:59:59
Internet leisure,21:00:00,21:30:00
Travel,1:36:36,1:42:45
Work ,5:26:07,7:03:42
Class,13:04:37,15:07:25
Socializing/relaxing,23:53:39,1:36:36
Class,17:00:00,19:00:00
Internet leisure,1:30:00,3:00:00
Personal care,18:38:27,18:42:47
Sleep,4:34:10,14:08:08
Travel,18:42:51,23:30:00
Socializing/relaxing,19:15:00,21:00:00
Sleep,7:51:17,13:04:23
Travel,19:00:00,19:15:00
Sleep,10:00:00,11:00:00
Work ,21:30:00,23:00:00
Internet leisure,0:00:00,1:00:00
Internet leisure,7:03:46,7:51:10
Food,14:33:23,15:06:42
Sleep,1:31:45,12:54:39
Work ,18:09:49,23:53:39
Food,14:08:08,20:26:02
Internet leisure,11:00:00,11:35:33
Work ,23:47:48,0:15:30
Work ,21:44:33,21:50:02
Work ,12:00:00,14:00:00
Work ,3:00:00,3:46:37
Leisure,15:06:45,16:26:36
Work ,1:00:00,1:30:00
Internet leisure,3:46:55,5:26:05
Household activities,13:24:15,13:41:52
Cooking,18:56:00,20:30:00
Socializing/relaxing,0:00:00,3:00:00
Sleep,3:00:00,13:15:00
Internet leisure,13:15:00,13:54:00
Food,13:54:00,14:54:00
Internet leisure,14:54:00,18:54:00
Personal care,20:30:00,21:44:33
Cooking,21:50:02,21:57:07
Work ,21:57:07,22:40:41
Cooking,22:40:41,23:13:34
Internet leisure,23:13:34,0:09:28
Work ,0:09:28,1:43:30
Internet leisure,1:43:30,2:53:19
Exercise,2:53:19,2:53:22
Sleep,2:53:30,13:24:20
Personal care,13:24:20,13:26:06
Food,13:26:06,14:54:00
Travel,18:00:00,18:05:58
Personal care,18:05:58,18:24:21
Food,18:24:21,18:24:25
Cooking,18:24:25,18:46:11
Food,18:46:11,19:27:01
Socializing/relaxing,19:27:01,19:34:27
Household activities,19:34:27,20:14:18
Work ,20:14:18,0:14:44
Internet leisure,0:14:44,4:20:13
Sleep,4:20:14,9:00:00
Class,10:30:00,11:56:02
Socializing/relaxing,11:56:02,13:08:49
Food,9:30:00,10:30:00
Travel,9:15:00,9:30:00
Personal care,9:00:00,9:15:00
Class,13:08:49,14:23:37
Travel,14:54:00,15:00:00
Class,15:00:00,18:00:00
Travel,14:23:37,14:25:56
Personal care,14:25:56,14:29:27
Work ,14:29:27,16:57:37
Travel,16:57:37,17:00:24
Class,17:00:24,18:05:16
Travel,18:05:17,18:38:12
Food,18:38:12,19:34:22
Travel,19:34:22,19:46:34
Socializing/relaxing,19:46:34,19:49:09
Internet leisure,19:49:09,20:18:44
Sleep,20:18:44,11:14:42
Food,11:14:42,11:14:47
Food,11:14:49,11:58:51
Travel,11:58:51,12:12:45
Work ,12:12:45,17:15:00
Class,17:30:00,21:25:15
Travel,21:25:15,21:38:10
Socializing/relaxing,21:38:11,21:40:35
Work ,21:40:35,0:16:54
Socializing/relaxing,0:16:54,0:47:00
Work ,0:47:00,1:41:47
Internet leisure,1:41:48,4:09:00
Personal care,12:30:00,12:36:32
Travel,12:36:32,14:02:15
Class,14:02:16,14:39:38
Work ,14:39:39,16:00:00
Sleep,4:09:00,12:15:00
Travel,17:15:00,17:30:00
Socializing/relaxing,16:00:00,16:57:00
Travel,16:57:00,17:00:00
Food,17:00:00,18:30:00
Work ,18:30:00,18:44:00
Work ,18:44:50,21:55:00
Social drinking,21:55:00,23:45:00
Work ,0:00:00,1:13:00
Sleep,4:35:15,13:24:52
Internet leisure,13:24:52,19:42:50
Travel,19:42:50,19:52:11
Shopping,19:52:11,11:41:27
Food,11:41:36,16:46:48
Travel,16:46:48,1:02:16
