CODE,DESC,TU1CODE,TU1DESC,TU2CODE,TU2DESC,TU3CODE,TU3DESC,,,
010101,Personal Care - Sleeping - Sleeping,01,Personal Care,01,Sleeping,01,Sleeping,,,Personal Care - Sleeping - Sleeping
010102,Personal Care - Sleeping - Sleeplessness,01,Personal Care,01,Sleeping,02,Sleeplessness,,,Personal Care - Sleeping - Sleeplessness
010199,"Personal Care - Sleeping - Sleeping, n.e.c.",01,Personal Care,01,Sleeping,99,"Sleeping, n.e.c.",,,"Personal Care - Sleeping - Sleeping, n.e.c."
010201,"Personal Care - Grooming - Washing, Dressing and grooming self",01,Personal Care,02,Grooming,01,"Washing, Dressing and grooming self",,,"Personal Care - Grooming - Washing, Dressing and grooming self"
010299,"Personal Care - Grooming - Grooming, n.e.c",01,Personal Care,02,Grooming,99,"Grooming, n.e.c",,,"Personal Care - Grooming - Grooming, n.e.c"
010301,Personal Care - Health-related self care - Health-related self care,01,Personal Care,03,Health-related self care,01,Health-related self care,,,Personal Care - Health-related self care - Health-related self care
010399,"Personal Care - Health-related self care - Health-related self care, n.e.c.",01,Personal Care,03,Health-related self care,99,"Health-related self care, n.e.c.",,,"Personal Care - Health-related self care - Health-related self care, n.e.c."
010401,Personal Care - Personal Activities - Personal/Private activities,01,Personal Care,04,Personal Activities,01,Personal/Private activities,,,Personal Care - Personal Activities - Personal/Private activities
010499,"Personal Care - Personal Activities - Personal/Private activities, nec",01,Personal Care,04,Personal Activities,99,"Personal/Private activities, nec",,,"Personal Care - Personal Activities - Personal/Private activities, nec"
010501,Personal Care - Personal Care Emergencies - Personal Emergencies,01,Personal Care,05,Personal Care Emergencies,01,Personal Emergencies,,,Personal Care - Personal Care Emergencies - Personal Emergencies
010599,"Personal Care - Personal Care Emergencies - Personal Emergencies, nec",01,Personal Care,05,Personal Care Emergencies,99,"Personal Emergencies, nec",,,"Personal Care - Personal Care Emergencies - Personal Emergencies, nec"
019999,"Personal Care - Personal Care, nec - Personal Care, nec",01,Personal Care,99,"Personal Care, nec",99,"Personal Care, nec",,,"Personal Care - Personal Care, nec - Personal Care, nec"
020101,Household Activities - Housework - Interior Cleaning,02,Household Activities,01,Housework,01,Interior Cleaning,,,Household Activities - Housework - Interior Cleaning
020102,Household Activities - Housework - Laundry,02,Household Activities,01,Housework,02,Laundry,,,Household Activities - Housework - Laundry
020103,"Household Activities - Housework - Sewing, repairing & maintaining textiles",02,Household Activities,01,Housework,03,"Sewing, repairing & maintaining textiles",,,"Household Activities - Housework - Sewing, repairing & maintaining textiles"
020104,"Household Activities - Housework - Storing interior hh items, inc. food",02,Household Activities,01,Housework,04,"Storing interior hh items, inc. food",,,"Household Activities - Housework - Storing interior hh items, inc. food"
020199,"Household Activities - Housework - housework, nec",02,Household Activities,01,Housework,99,"housework, nec",,,"Household Activities - Housework - housework, nec"
020201,"Household Activities - Food & Drink Prep., Presentation, & Clean-up - Food and drink preparation ",02,Household Activities,02,"Food & Drink Prep., Presentation, & Clean-up",01,Food and drink preparation ,,,"Household Activities - Food & Drink Prep., Presentation, & Clean-up - Food and drink preparation "
020202,"Household Activities - Food & Drink Prep., Presentation, & Clean-up - Food presentation",02,Household Activities,02,"Food & Drink Prep., Presentation, & Clean-up",02,Food presentation,,,"Household Activities - Food & Drink Prep., Presentation, & Clean-up - Food presentation"
020203,"Household Activities - Food & Drink Prep., Presentation, & Clean-up - Kitchen and food clean-up",02,Household Activities,02,"Food & Drink Prep., Presentation, & Clean-up",03,Kitchen and food clean-up,,,"Household Activities - Food & Drink Prep., Presentation, & Clean-up - Kitchen and food clean-up"
020299,"Household Activities - Food & Drink Prep., Presentation, & Clean-up - Food & drink prep, presentation, & clean-up, n.e.c.* ",02,Household Activities,02,"Food & Drink Prep., Presentation, & Clean-up",99,"Food & drink prep, presentation, & clean-up, n.e.c.* ",,,"Household Activities - Food & Drink Prep., Presentation, & Clean-up - Food & drink prep, presentation, & clean-up, n.e.c.* "
020301,"Household Activities - Interior Maintenance, Repair, & Decoration - Interior arrangement, decoration, & repairs",02,Household Activities,03,"Interior Maintenance, Repair, & Decoration",01,"Interior arrangement, decoration, & repairs",,,"Household Activities - Interior Maintenance, Repair, & Decoration - Interior arrangement, decoration, & repairs"
020302,"Household Activities - Interior Maintenance, Repair, & Decoration - Building and repairing furniture",02,Household Activities,03,"Interior Maintenance, Repair, & Decoration",02,Building and repairing furniture,,,"Household Activities - Interior Maintenance, Repair, & Decoration - Building and repairing furniture"
020303,"Household Activities - Interior Maintenance, Repair, & Decoration - Heating and cooling",02,Household Activities,03,"Interior Maintenance, Repair, & Decoration",03,Heating and cooling,,,"Household Activities - Interior Maintenance, Repair, & Decoration - Heating and cooling"
