hour,Socializing/relaxing,Household activities,Shopping,Personal care,Food,Travel,Cooking,Leisure,Watching content,Work ,Sleep,Social drinking,Internet leisure,Class,Exercise
0,91,0,0,0,0,45,0,0,0,124,0,0,106,0,0
1,78,0,0,0,0,37,0,0,0,127,29,0,126,0,0
2,120,0,0,0,0,0,0,0,0,0,67,0,233,0,0
3,60,0,0,0,0,0,0,0,0,46,180,0,134,0,0
4,34,0,0,0,0,0,0,0,0,0,322,0,89,0,0
5,0,0,0,0,0,0,0,0,0,34,420,0,26,0,0
6,0,0,0,0,0,0,0,0,0,60,420,0,0,0,0
7,0,0,0,0,0,0,0,0,0,3,429,0,48,0,0
8,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0
9,0,0,0,15,30,15,0,0,0,0,420,0,0,0,0
10,0,0,0,0,30,0,0,0,0,0,480,0,0,30,0
11,4,0,0,0,63,27,0,0,0,0,420,0,35,56,0
12,66,0,0,6,60,36,0,0,0,108,369,0,0,0,0
13,28,17,0,2,100,60,19,0,0,120,127,0,79,108,0
14,0,0,0,4,277,40,33,0,0,112,8,0,66,120,0
15,0,0,0,0,156,0,0,54,30,233,0,0,120,67,0
16,57,0,0,0,106,40,0,26,60,177,0,0,120,60,0
17,0,0,0,0,120,75,0,0,0,75,0,0,120,210,0
18,0,0,0,23,126,65,26,0,0,102,17,0,114,125,0
19,55,26,0,0,121,97,60,0,0,120,0,0,53,60,0
20,60,14,0,30,26,60,30,0,0,120,0,0,18,60,0
21,2,0,0,44,0,73,7,0,0,154,0,5,30,25,0
22,0,0,0,0,0,60,20,0,0,160,0,60,0,0,0
23,0,0,0,0,0,30,13,0,59,53,0,45,0,0,0
