hour,from,to,number of people
0,1,1,35
0,1,2,8
0,1,3,3
0,1,5,2
0,1,11,2
0,1,12,18
0,1,18,4
0,1,14,2
0,1,50,1
0,2,1,8
0,2,2,4
0,2,3,1
0,2,12,7
0,2,50,1
0,2,18,1
0,3,1,6
0,3,2,1
0,3,3,2
0,3,14,1
0,4,18,1
0,4,12,1
0,5,1,3
0,5,2,1
0,5,12,2
0,5,5,1
0,6,1,1
0,7,2,1
0,7,3,1
0,7,18,1
0,11,1,4
0,11,2,1
0,11,12,3
0,11,5,2
0,11,7,1
0,12,1,60
0,12,2,2
0,12,3,1
0,12,12,8
0,12,18,5
0,12,14,1
0,12,16,2
0,12,50,1
0,18,1,23
0,18,2,4
0,18,3,1
0,18,4,2
0,18,5,1
0,18,7,2
0,18,11,4
0,18,12,20
0,18,50,1
0,18,14,1
0,18,18,5
0,14,1,4
0,14,14,1
0,15,15,2
0,16,1,7
0,16,12,1
0,50,1,2
0,50,18,1
1,1,1,17
1,1,2,1
1,1,3,2
1,1,5,1
1,1,11,1
1,1,12,5
1,1,18,3
1,1,50,2
1,2,1,2
1,2,18,3
1,2,12,4
1,3,1,5
1,3,2,1
1,3,3,2
1,3,12,1
1,4,1,1
1,4,18,1
1,5,1,1
1,5,12,1
1,7,2,1
1,11,1,1
1,11,12,4
1,12,1,30
1,12,3,1
1,12,5,2
1,12,12,6
1,12,50,1
1,12,14,1
1,12,18,4
1,13,12,1
1,15,15,1
1,16,12,1
1,50,18,1
1,18,1,14
1,18,2,4
1,18,3,1
1,18,4,2
1,18,5,1
1,18,7,1
1,18,11,3
1,18,12,4
1,18,13,1
1,18,14,1
1,18,18,5
2,1,1,16
2,1,2,2
2,1,3,2
2,1,5,1
2,1,6,1
2,1,11,2
2,1,12,9
2,1,14,1
2,1,18,11
2,2,1,3
2,2,18,2
2,2,11,4
2,2,12,2
2,2,2,1
2,3,1,8
2,3,2,1
2,3,3,5
2,5,5,1
2,7,1,1
2,7,18,1
2,11,1,2
2,11,2,1
2,11,12,3
2,11,5,5
2,12,1,13
2,12,2,2
2,12,5,5
2,12,11,1
2,12,12,3
